loop,rxcost,txcost,metric,smetric
1,1023,65535
2,511,65535
3,341,1023
4,292,511
5,292,511
6,292,511
7,292,292
8,292,292
9,292,292
10,273,292
11,273,292
12,273,292
13,273,292
14,273,292
15,264,292,301,32767
16,264,292,301,32767
17,264,292,301,32767
18,264,292,301,32767
19,264,292,301,25938
20,264,292,301,17702
21,260,292,301,11347
22,260,292,301,11347
23,260,292,301,11347
24,260,292,301,6090
25,260,292,301,5061
26,258,260,262,5061
27,258,260,262,4335
28,258,260,262,4335
29,258,260,262,3697
30,258,260,262,3083
31,256,260,260,2131
32,256,260,260,2131
33,256,260,260,1840
34,256,260,260,1840
35,256,260,260,1266
36,256,260,260,1093
37,256,260,260,1093
38,256,260,260,918
39,256,260,260,678
40,256,256,256,590
41,256,256,256,590
42,256,256,256,590
43,256,256,256,431
44,256,256,256,399
45,256,256,256,373
46,256,256,256,337
47,341,256,341,319
48,341,256,341,319
49,341,256,341,326
50,341,256,341,328
51,341,256,341,328
52,341,341,454,329
53,341,341,454,329
54,341,341,454,377
55,341,341,454,377
56,341,341,454,377
57,341,341,454,393
58,292,292,333,408
59,292,292,333,398
60,292,292,333,388
61,292,292,333,376
62,273,292,311,364
63,273,292,311,364
64,273,292,311,353
65,273,292,311,346
66,273,292,311,346
67,273,292,311,339
68,264,264,272,339
69,264,264,272,319
70,264,264,272,319
71,264,264,272,319
72,264,264,272,298
73,264,264,272,298
74,264,264,272,293
75,264,264,272,288
76,264,264,272,286
77,344,264,355,284
78,344,264,355,307
79,344,264,355,307
80,343,343,460,314
81,343,343,460,314
82,343,343,460,363
83,343,343,460,381
84,293,342,391,381
85,293,342,391,382
86,293,342,391,383
87,293,342,391,384
88,293,342,391,385
89,273,292,311,385
90,273,292,311,360
91,264,273,282,352
92,264,273,282,352
93,264,273,282,352
94,264,273,282,352
95,260,273,277,324
96,260,273,277,324
97,260,273,277,316
98,260,273,277,309
99,260,273,277,309
100,258,273,277,297
101,258,273,277,297
102,258,273,275,291
103,258,273,275,291
104,257,258,259,287
105,257,258,259,287
106,257,258,259,287
107,257,258,259,284
